INFO  - 2015-09-09 19:08:12.754; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2015-09-09 19:08:12.755; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.755; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2015-09-09 19:08:12.755; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2015-09-09 19:08:12.756; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2015-09-09 19:08:12.892; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-09-09 19:08:12.904; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2015-09-09 19:08:13.115; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-09-09 19:08:13.121; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2015-09-09 19:08:13.194; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2015-09-09 19:08:13.652; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-09-09 19:08:13.663; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2015-09-09 19:08:13.664; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2015-09-09 19:08:13.736; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-09-09 19:08:13.742; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-09-09 19:08:13.910; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/
INFO  - 2015-09-09 19:08:13.944; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-09-09 19:08:13.954; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/, dataDir=/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/data/
INFO  - 2015-09-09 19:08:13.962; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-09-09 19:08:13.970; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-09-09 19:08:13.971; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-09-09 19:08:13.987; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/data
INFO  - 2015-09-09 19:08:14.014; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2015-09-09 19:08:14.014; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-09-09 19:08:14.027; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2015-09-09 19:08:14.073; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-09-09 19:08:14.074; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-09-09 19:08:14.079; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-09-09 19:08:14.079; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-09-09 19:08:14.080; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-09-09 19:08:14.082; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-09-09 19:08:14.083; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-09-09 19:08:14.173; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-09-09 19:08:14.180; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-09-09 19:08:14.180; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-09-09 19:08:14.182; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-09-09 19:08:14.182; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-09-09 19:08:14.189; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.190; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.191; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-09-09 19:08:14.191; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.191; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2015-09-09 19:08:14.192; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-09-09 19:08:14.192; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-09-09 19:08:14.193; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-09-09 19:08:14.193; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-09-09 19:08:14.193; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-09-09 19:08:14.194; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-09-09 19:08:14.194; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-09-09 19:08:14.194; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-09-09 19:08:14.197; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-09-09 19:08:14.199; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-09-09 19:08:14.202; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-09-09 19:08:14.216; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-09-09 19:08:14.216; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.216; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.216; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.216; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.217; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.217; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.217; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.217; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-09-09 19:08:14.247; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-09-09 19:08:14.249; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-09-09 19:08:14.251; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
